iter	Passed	Remaining
191	20651	86906
192	20749	86759
193	20856	86652
194	20951	86493
195	21060	86390
196	21163	86267
197	21271	86161
198	21374	86035
199	21473	85892
200	21583	85799
201	21687	85675
202	21797	85577
203	21901	85457
204	22008	85351
205	22109	85216
206	22216	85107
207	22320	84990
208	22427	84879
209	22526	84743
210	22638	84654
211	22746	84547
212	22850	84427
213	22950	84293
214	23057	84186
215	23169	84098
216	23276	83988
217	23383	83880
218	23490	83771
219	23595	83657
220	23698	83534
221	23801	83412
222	23907	83301
223	24013	83188
224	24121	83086
225	24227	82972
226	24337	82874
227	24439	82751
228	24546	82642
229	24650	82524
230	24753	82403
231	24861	82299
232	24956	82153
233	25067	82057
234	25166	81924
235	25266	81795
236	25366	81666
237	25477	81569
238	25581	81453
239	25692	81359
240	25800	81256
241	25903	81135
242	26005	81012
243	26110	80898
244	26211	80775
245	26320	80672
246	26423	80554
247	26532	80452
248	26638	80343
249	26748	80245
250	26846	80110
251	26955	80010
252	27054	79880
253	27161	79772
254	27264	79655
255	27365	79532
256	27468	79411
257	27571	79295
258	27680	79194
259	27783	79077
260	27881	78944
261	27982	78821
262	28080	78690
263	28183	78573
264	28285	78452
265	28384	78325
266	28482	78194
267	28585	78076
268	28684	77950
269	28787	77833
270	28891	77718
271	28997	77610
272	29106	77510
273	29211	77399
274	29317	77291
275	29409	77147
276	29516	77041
277	29608	76898
278	29704	76763
279	29808	76651
280	29916	76547
281	30026	76449
282	30131	76340
283	30235	76228
284	30336	76108
285	30435	75981
286	30539	75869
287	30648	75770
288	30748	75647
289	30846	75520
290	30948	75404
291	31040	75261
292	31144	75151
293	31251	75046
294	31345	74910
295	31450	74801
296	31550	74679
297	31643	74542
298	31746	74429
299	31849	74314
300	31952	74202
301	32056	74091
302	32158	73975
303	32260	73858
304	32357	73731
305	32461	73621
306	32569	73519
307	32669	73399
308	32770	73283
309	32873	73169
310	32968	73040
311	33070	72924
312	33167	72799
313	33269	72684
314	33376	72580
315	33482	72474
316	33592	72378
317	33693	72260
318	33791	72138
319	33887	72010
320	33990	71898
321	34086	71773
322	34186	71653
323	34295	71554
324	34391	71427
325	34492	71311
326	34596	71203
327	34699	71092
328	34805	70986
329	34902	70863
330	35000	70740
331	35106	70636
332	35199	70504
333	35293	70375
334	35406	70285
335	35516	70186
336	35620	70078
337	35717	69955
338	35818	69839
339	35925	69737
340	36034	69639
341	36136	69525
342	36249	69434
343	36357	69332
344	36459	69219
345	36562	69109
346	36660	68988
347	36760	68873
348	36869	68773
349	36975	68669
350	37082	68565
351	37185	68454
352	37281	68331
353	37388	68228
354	37491	68117
355	37595	68009
356	37699	67900
357	37804	67794
358	37903	67677
359	38007	67568
360	38106	67451
361	38205	67335
362	38306	67220
363	38406	67106
364	38507	66993
365	38614	66889
366	38710	66768
367	38815	66661
368	38920	66554
369	39021	66441
370	39127	66337
371	39223	66216
372	39322	66099
373	39422	65985
374	39519	65865
375	39618	65750
376	39724	65644
377	39830	65540
378	39938	65440
379	40037	65323
380	40144	65221
381	40244	65106
382	40349	65002
383	40454	64895
384	40553	64780
385	40653	64666
386	40758	64560
387	40865	64457
388	40971	64353
389	41069	64236
390	41170	64124
391	41268	64007
392	41366	63892
393	41471	63785
394	41581	63688
395	41681	63575
396	41781	63461
397	41874	63337
398	41969	63216
399	42078	63117
400	42176	63002
401	42270	62879
402	42369	62765
403	42470	62654
404	42571	62542
405	42673	62434
406	42773	62321
407	42867	62199
408	42966	62085
409	43064	61970
410	43168	61863
411	43270	61754
412	43376	61651
413	43480	61545
414	43588	61444
415	43691	61336
416	43798	61233
417	43903	61128
418	44012	61028
419	44109	60913
420	44210	60802
421	44314	60695
422	44411	60580
423	44506	60461
424	44599	60340
425	44701	60231
426	44806	60126
427	44909	60018
428	45008	59906
429	45109	59796
430	45209	59684
431	45311	59576
432	45415	59469
433	45510	59352
434	45620	59254
435	45718	59140
436	45820	59031
437	45918	58918
438	46011	58797
439	46114	58691
440	46205	58568
441	46302	58454
442	46400	58340
443	46505	58236
444	46605	58126
445	46713	58025
446	46825	57929
447	46920	57812
448	47032	57717
449	47141	57617
450	47244	57510
451	47352	57409
452	47450	57296
453	47551	57187
454	47657	57084
455	47760	56977
456	47857	56864
457	47968	56766
458	48072	56660
459	48168	56545
460	48268	56434
461	48372	56330
462	48472	56219
463	48567	56103
464	48674	56002
465	48773	55890
466	48868	55774
467	48968	55664
468	49078	55566
469	49179	55457
470	49285	55355
471	49385	55244
472	49488	55138
473	49589	55030
474	49693	54924
475	49790	54810
476	49884	54695
477	49987	54589
478	50093	54485
479	50194	54377
480	50290	54263
481	50387	54151
482	50489	54043
483	50586	53930
484	50677	53811
485	50778	53704
486	50886	53603
487	50990	53497
488	51088	53386
489	51190	53279
490	51289	53169
491	51395	53067
492	51489	52951
493	51580	52833
494	51681	52725
495	51780	52615
496	51881	52508
497	51982	52399
498	52075	52284
499	52182	52182
500	52281	52072
501	52392	51975
502	52487	51861
503	52588	51753
504	52686	51642
505	52791	51539
506	52885	51425
507	52991	51322
508	53097	51220
509	53198	51112
510	53304	51009
511	53402	50899
512	53495	50783
513	53591	50671
514	53695	50567
515	53791	50455
516	53892	50348
517	53992	50240
518	54096	50135
519	54200	50031
520	54304	49926
521	54408	49822
522	54515	49720
523	54618	49615
524	54715	49504
525	54820	49400
526	54917	49290
527	55022	49187
528	55120	49077
529	55228	48976
530	55335	48874
531	55430	48761
532	55549	48670
533	55652	48566
534	55758	48463
535	55859	48356
536	55955	48244
537	56063	48143
538	56157	48030
539	56258	47924
540	56365	47822
541	56463	47712
542	56558	47601
543	56660	47494
544	56766	47392
545	56871	47288
546	56977	47186
547	57074	47076
548	57176	46970
549	57273	46860
550	57370	46750
551	57463	46637
552	57561	46527
553	57655	46416
554	57756	46309
555	57853	46199
556	57956	46095
557	58052	45984
558	58147	45873
559	58249	45767
560	58351	45661
561	58457	45559
562	58560	45454
563	58659	45346
564	58764	45243
565	58858	45131
566	58963	45028
567	59067	44924
568	59166	44816
569	59279	44719
570	59384	44616
571	59482	44507
572	59576	44396
573	59672	44286
574	59773	44180
575	59869	44070
576	59976	43968
577	60078	43863
578	60189	43764
579	60284	43654
580	60392	43553
581	60490	43445
582	60591	43339
583	60693	43233
584	60796	43129
585	60896	43022
586	61006	42922
587	61118	42824
588	61218	42718
589	61325	42616
590	61431	42513
591	61538	42411
592	61644	42308
593	61747	42204
594	61846	42097
595	61950	41993
596	62044	41882
597	62154	41782
598	62254	41675
599	62360	41573
600	62461	41467
601	62565	41363
602	62675	41263
603	62780	41160
604	62889	41060
605	62992	40955
606	63090	40847
607	63193	40743
608	63291	40635
609	63389	40527
610	63486	40419
611	63592	40316
612	63692	40210
613	63789	40101
614	63885	39993
615	63981	39884
616	64087	39782
617	64186	39675
618	64285	39568
619	64383	39461
620	64486	39356
621	64585	39249
622	64696	39150
623	64794	39042
624	64890	38934
625	64992	38829
626	65094	38724
627	65189	38615
628	65285	38507
629	65409	38415
630	65500	38303
631	65599	38196
632	65700	38091
633	65804	37988
634	65900	37879
635	65995	37770
636	66097	37666
637	66193	37558
638	66294	37452
639	66393	37346
640	66485	37236
641	66588	37131
642	66687	37025
643	66790	36921
644	66893	36817
645	67000	36715
646	67102	36610
647	67205	36506
648	67299	36397
649	67398	36291
650	67506	36190
651	67616	36089
652	67719	35985
653	67820	35880
654	67928	35778
655	68023	35670
656	68121	35564
657	68221	35458
658	68325	35355
659	68422	35247
660	68530	35146
661	68628	35040
662	68736	34938
663	68839	34834
664	68939	34728
665	69044	34625
666	69143	34519
667	69245	34415
668	69349	34312
669	69444	34204
670	69553	34103
671	69648	33995
672	69752	33891
673	69845	33782
674	69944	33676
675	70047	33572
676	70146	33467
677	70240	33358
678	70335	33251
679	70438	33147
680	70535	33040
681	70639	32937
682	70739	32832
683	70834	32724
684	70943	32623
685	71046	32519
686	71153	32417
687	71255	32313
688	71359	32210
689	71470	32110
690	71567	32003
691	71675	31901
692	71777	31797
693	71878	31692
694	71981	31589
695	72090	31487
696	72198	31385
697	72298	31281
698	72399	31176
699	72502	31072
700	72607	30969
701	72711	30865
702	72813	30761
703	72914	30657
704	73024	30556
705	73123	30451
706	73223	30345
707	73333	30244
708	73436	30141
709	73539	30037
710	73634	29930
711	73725	29821
712	73825	29716
713	73937	29616
714	74029	29508
715	74133	29404
716	74238	29301
717	74342	29198
718	74444	29094
719	74549	28991
720	74650	28886
721	74755	28783
722	74848	28676
723	74948	28571
724	75040	28463
725	75141	28359
726	75248	28257
727	75349	28152
728	75445	28046
729	75551	27943
730	75643	27836
731	75740	27730
732	75841	27625
733	75948	27523
734	76042	27416
735	76147	27313
736	76242	27207
737	76335	27100
738	76433	26994
739	76545	26894
740	76648	26790
741	76755	26688
742	76847	26581
743	76950	26477
744	77057	26375
745	77147	26267
746	77257	26166
747	77364	26063
748	77474	25962
749	77583	25861
750	77691	25759
751	77798	25657
752	77905	25554
753	78004	25449
754	78112	25347
755	78214	25243
756	78318	25140
757	78416	25035
758	78511	24929
759	78608	24823
760	78709	24719
761	78813	24616
762	78918	24513
763	79030	24412
764	79145	24312
765	79258	24211
766	79362	24108
767	79462	24004
768	79561	23899
769	79662	23795
770	79756	23688
771	79859	23585
772	79963	23482
773	80066	23378
774	80170	23275
775	80281	23174
776	80381	23069
777	80482	22965
778	80580	22860
779	80682	22756
780	80785	22652
781	80884	22548
782	80987	22444
783	81086	22340
784	81193	22237
785	81300	22135
786	81409	22033
787	81511	21929
788	81614	21825
789	81719	21722
790	81820	21618
791	81920	21514
792	82023	21410
793	82125	21307
794	82230	21204
795	82332	21100
796	82434	20996
797	82543	20894
798	82643	20790
799	82742	20685
800	82833	20579
801	82938	20476
802	83046	20373
803	83153	20271
804	83251	20166
805	83360	20064
806	83460	19960
807	83553	19854
808	83658	19751
809	83747	19644
810	83843	19539
811	83951	19437
812	84060	19334
813	84154	19229
814	84246	19123
815	84348	19019
816	84450	18916
817	84555	18813
818	84652	18708
819	84757	18605
820	84857	18501
821	84960	18397
822	85065	18294
823	85163	18190
824	85270	18087
825	85365	17982
826	85468	17879
827	85563	17773
828	85666	17670
829	85774	17568
830	85874	17464
831	85981	17361
832	86089	17259
833	86196	17156
834	86297	17052
835	86393	16947
836	86495	16844
837	86602	16741
838	86698	16637
839	86799	16533
840	86901	16429
841	87008	16327
842	87102	16221
843	87199	16117
844	87299	16013
845	87403	15910
846	87503	15806
847	87595	15701
848	87700	15598
849	87803	15494
850	87909	15391
851	88010	15288
852	88104	15183
853	88202	15079
854	88307	14976
855	88411	14872
856	88508	14768
857	88614	14665
858	88718	14562
859	88814	14458
860	88916	14354
861	89016	14250
862	89116	14147
863	89224	14044
864	89318	13939
865	89422	13836
866	89522	13733
867	89622	13629
868	89717	13524
869	89817	13420
870	89914	13316
871	90017	13213
872	90119	13110
873	90226	13007
874	90330	12904
875	90435	12801
876	90531	12697
877	90638	12594
878	90743	12491
879	90841	12387
880	90954	12285
881	91052	12181
882	91175	12081
883	91286	11978
884	91381	11874
885	91482	11770
886	91590	11668
887	91694	11565
888	91790	11460
889	91891	11357
890	91995	11254
891	92103	11151
892	92203	11047
893	92306	10944
894	92408	10841
895	92509	10737
896	92610	10634
897	92713	10530
898	92822	10428
899	92919	10324
900	93025	10221
901	93122	10117
902	93220	10013
903	93318	9909
904	93422	9806
905	93523	9703
906	93618	9599
907	93727	9496
908	93827	9393
909	93928	9289
910	94029	9186
911	94129	9082
912	94238	8980
913	94343	8876
914	94443	8773
915	94548	8670
916	94645	8566
917	94746	8463
918	94849	8359
919	94949	8256
920	95056	8153
921	95156	8050
922	95257	7946
923	95356	7843
924	95465	7740
925	95568	7637
926	95667	7533
927	95771	7430
928	95883	7327
929	95980	7224
930	96087	7121
931	96188	7018
932	96291	6914
933	96388	6811
934	96493	6708
935	96601	6605
936	96708	6502
937	96813	6399
938	96918	6296
939	97016	6192
940	97114	6088
941	97214	5985
942	97313	5882
943	97411	5778
944	97511	5675
945	97615	5572
946	97719	5468
947	97817	5365
948	97915	5262
949	98018	5158
950	98118	5055
951	98218	4952
952	98325	4849
953	98421	4745
954	98518	4642
955	98613	4538
956	98717	4435
957	98816	4332
958	98907	4228
959	99009	4125
960	99107	4022
961	99214	3919
962	99314	3815
963	99410	3712
964	99513	3609
965	99612	3506
966	99710	3402
967	99815	3299
968	99918	3196
969	100020	3093
970	100120	2990
971	100223	2887
972	100321	2783
973	100425	2680
974	100530	2577
975	100639	2474
976	100744	2371
977	100848	2268
978	100950	2165
979	101049	2062
980	101150	1959
981	101246	1855
982	101352	1752
983	101448	1649
984	101548	1546
985	101654	1443
986	101750	1340
987	101848	1237
988	101948	1133
989	102053	1030
990	102156	927
991	102255	824
992	102348	721
993	102457	618
994	102559	515
995	102660	412
996	102761	309
997	102873	206
998	102977	103
999	103080	0
